,name,genre,author,status,alt_title,views,score,nb_votes
11,Library of Heaven's Path,Action-Adventure-Comedy-Drama-Fantasy-Martialarts-Manhua,"
Heng Sao Tian Ya - Huoli Xiongmao ",Ongoing,Tian Dao Library ; Tian Dao Tu Shu Guan ; 天道图书馆,33.7M,4.75,4821
12,Transistor Teaset,Comedy-Mecha-Sliceoflife-Yuri,"
Yoshimi Sato ",Ongoing - No Set Relea,トランジスタティーセット～電気街路図～ ; Transistor Teaset - Denki Gairozu,258.2K,4.27,26
13,Tenmaku no Jadougal,Drama-Historical-Josei,"
Tomato Soup ",Ongoing,A Witch's Life in Mongol,12.3K,4.33,12
14,The plain girl sitting next to me,Romance-Schoollife-Yuri,"
Inuto ",Ongoing,The Plain Girl Sitting Next to Me ; となりの席の地味な奴,742.5K,4.43,998
15,Song of the Sky Walkers,Action-Adventure-Drama-Fantasy-Historical-Martialarts-Shoujo-Webtoons,"
Da Xia ",Ongoing,"Bù Tiān Gē ,步天歌",6.2M,4.66,1167
16,Baby Come On!!,Fantasy-Mystery-Romance-Shounen-Supernatural,"
A Jia ",Ongoing,Bài Tuō Ràng Wǒ Cháng Yī Kǒu ; Please Let Me Try A Bite! ; 拜托让我尝一口,785.7K,3.14,166
17,Sonna Kazoku nara Sutechaeba?,Drama-Seinen,"
Murayama Wataru ",Ongoing,そんな家族なら捨てちゃえば? ; Một gia đình như vậy có đáng để giữ lại không?,81.7K,4.05,63
18,Yowamushi Pedal,Comedy-Drama-Shounen-Sports,"
Watanabe Wataru (渡辺航) ",Ongoing,弱虫ペダル (Japanese); 飆速宅男 (Chinese); Weakling Pedal (English),11.5M,4.63,274
19,The Mochi I Drew Is Tasty Today Too,Fantasy-Shounen-Sliceoflife-Isekai,"
Mochimochi Matter - Baito Asuka ",Ongoing,今日も絵に描いた餅が美味い ; Kyou mo E ni Kaita Mochi ga Umai ; 今日も絵に描いた餅が美味い@COMIC,839.4K,4.83,642
20,The Mochi I Drew Is Tasty Today Too,Fantasy-Shounen-Sliceoflife-Isekai,"
Mochimochi Matter - Baito Asuka ",Ongoing,今日も絵に描いた餅が美味い ; Kyou mo E ni Kaita Mochi ga Umai ; 今日も絵に描いた餅が美味い@COMIC,839.4K,4.83,642
21,Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken,Comedy-Romance-Schoollife-Shounen,"
Matsumoto Namiru ",Ongoing,僕の彼女がマジメ過ぎる処女ビッチな件 (Japanese); 关于我女友是个一本正经的碧池这件事 (Chinese); My Girlfriend is faithful virgin bitch (English),8M,4.56,673
22,TEKNO,Action-Adventure-Comedy-Drama-Fantasy-Mecha-Mystery-Psychological-Shounen-Sliceoflife,"
Blu Manga ",Ongoing,The Only Manga Worth Reading ; The Shonen Manga for People Tired of Shonen,1.1M,3.79,1023
23,TEKNO,Action-Adventure-Comedy-Drama-Fantasy-Mecha-Mystery-Psychological-Shounen-Sliceoflife,"
Blu Manga ",Ongoing,The Only Manga Worth Reading ; The Shonen Manga for People Tired of Shonen,1.1M,3.79,1023
24,Stockpiling Ten Thousand Tons of Pork During the Apocalypse,Action-Supernatural,"
恨年少无知 ",Ongoing,"空间系老六,末世先囤一万吨猪肉 ; 末世：开局先囤十亿物资 ; 空间系老六，末世先囤一万吨猪肉 ; Kongjian Xi Lao Liu, Moshi Xian Dun Yi Wan Dun Zhurou ; Kōngjiān Xì Lǎo Liù, Mòshì Xiān Dùn Yī Wàn Dùn Zhūròu",41.3K,4.67,54
25,Stockpiling Ten Thousand Tons of Pork During the Apocalypse,Action-Supernatural,"
恨年少无知 ",Ongoing,"空间系老六,末世先囤一万吨猪肉 ; 末世：开局先囤十亿物资 ; 空间系老六，末世先囤一万吨猪肉 ; Kongjian Xi Lao Liu, Moshi Xian Dun Yi Wan Dun Zhurou ; Kōngjiān Xì Lǎo Liù, Mòshì Xiān Dùn Yī Wàn Dùn Zhūròu",41.3K,4.67,54
26,BUTLER,Romance-Yaoi,"
Kanda Neko ",Ongoing,버틀러 ; BUTLER-バトラー-,497.3K,3.81,124
27,Deliverance of the Counterattack,Comedy-Shounenai-Webtoons,"
Haier ",Ongoing,"The Art of Taming His Husband, 逆袭之好孕人生; 娇奶爸休想逃, counterattack through pregnancy",6M,3.32,1333
28,Please Call Me Ghost Messenger,Action-Drama-Fantasy-Horror-Shounen-Supernatural-Manhua,"
徐二家的猫 ",Ongoing,"请叫我鬼差大人, Qing Jiao Wo Gui Chai Daren",55.4K,4.39,36
29,Revenge of the Top Ranker,Action-Drama-Fantasy,"
Watari Ryuuto ",Ongoing,復讐のトップランカー ; Fukushuu no Top Ranker,62.7K,4.57,84
30,The Secret of the Partner Next to You,Comedy-Mystery-Romance-Schoollife,"
Chaegun ",Ongoing,Jae-Kyung's Secret ; The Secret of Jae-Kyung ; El secreto de Jae-Kyung ; 옆자리 짝꿍의 비밀,1.3M,4.71,225
31,Goldo,Drama-Seinen-Sports,"
Takahashi Kouji ",Ongoing,ゴルドオ,30.6K,3.67,6
32,Boukyou Tarou,Adventure-Drama-Historical-Psychological-Seinen-Supernatural,"
Yamada Yoshihiro ",Ongoing,Bokyo Taro ; Homesick Tarou ; 望郷太郎,81.5K,4.78,95
33,I was Stuck on the Same Day for One Hundred Thousand Years,Action-Adventure-Comedy-Fantasy-Harem-Martialarts-Manhua,"
Iciyuan ",Ongoing,The Time of Rebirth ; I Was Stuck on the Same Day for One Hundred Thousand Years ; I Was Trapped on the Same Day for a Hundred Millennium ; 10만 년째 오늘을 살던 놈 ; 十万年の無限ループから脱出した ; 我被困在同一天十万年 ; 我被困在同一天十萬年,35.6M,"rate :
4.5/
5",5
34,I was Stuck on the Same Day for One Hundred Thousand Years,Action-Adventure-Comedy-Fantasy-Harem-Martialarts-Manhua,"
Iciyuan ",Ongoing,The Time of Rebirth ; I Was Stuck on the Same Day for One Hundred Thousand Years ; I Was Trapped on the Same Day for a Hundred Millennium ; 10만 년째 오늘을 살던 놈 ; 十万年の無限ループから脱出した ; 我被困在同一天十万年 ; 我被困在同一天十萬年,35.6M,"rate :
4.5/
5",5
35,Don’t Say You Love Me,Fantasy-Romance-Shounenai,"
Xi Yu’Er ",Ongoing,别对我表白,3.8M,4.42,704
36,Martial Arts Alone,Action-Adventure-Drama-Martialarts,"
Ttangpi ",Ongoing,나 홀로 무공,5M,4.61,490
37,Infinite Leveling: Murim,Action-Adventure-Comedy-Fantasy-Martialarts-Shounen,"
Jinwoo Kim - Gonbung - Poku ",Ongoing,Infinite Level up in Murim ; Muhan Rebereob in Murim ; Unlimited Level-ups in Murim ; 無限 Level up in 武林 ; 무한 레벨업 in 무림,51.5M,"rate :
4.61/
5",5
38,The Golden Light of Dawn,Drama-Fantasy-Historical-Romance-Shoujo-Webtoons-Manhwa,"
Seolon Han / Manta Comics ",Ongoing,The Golden Light of Dawn / The golden dawn light will shine for you / 황금빛 여명이 너를 비추리,2.9M,4.45,116
39,STUCK IN THE TOWER,Action-Adventure-Fantasy-Supernatural-Manhwa,"
Sitt ",Ongoing,"탑에 갇혀 고인물, Stuck in the Tower",7.6M,4.53,2012
40,"Shall We Bathe, Your Grace?",Comedy-Fantasy-Historical,"
Nokan - Summer (Ii) ",Ongoing,"공작님, 우리 목욕합시다! ; Duke, Let's Take A Bath!",810.9K,4.72,60
41,Unbreakable Master,Action-Drama-Fantasy-Romance-Shounenai,"
Jeon Yu Ho ",Ongoing,The Unbreakable Master ; 不可阻挡的主君大人 ; 언브레이커블 마스터,790.3K,3.84,79
42,The Dilettante,Action-Drama-Josei-Mature-Mystery-Romance-Schoollife-Shoujo-Sliceoflife,"
Jin Soye - Surreuk Comics ",Ongoing,딜레탕트,2.1M,4.76,134
43,The Ten Great Emperors At The Beginning Are All My Apprentices,Action-Fantasy-Historical-Martialarts-Shounen,"
Iciyuan ",Ongoing,"Ten Emperors Are My Disciples, The Ten Great Emperors at the Beginning Are All My Apprentices, Thập Đại Đế Hoàng Đều Là Đệ Tử Của Ta, 开局十个大帝都是我徒弟",2.7M,4.61,725
44,Rental Hero,Action-Drama-Fantasy-Shounen,"
Porto ",Ongoing,렌탈히어로,2.2M,4.7,340
45,Existence,Action-Adventure-Drama-Fantasy-Supernatural-Tragedy,"
Gwang Jin - Kim Kyeong-Jun ",Ongoing,존재 ; Jonjae,23.3M,"rate :
4.65/
5",5
46,Sword Immortal Martial Emperor,Action-Drama-Fantasy-Historical-Martialarts-Shounen-Manhua,"
三界动画 ",Ongoing,Jian Xian Wudi: Kaiju Xuanwu Men Zhi Bian ; Jiàn Xiān Wǔdì: Kāijú Xuánwǔ Mén Zhī Biàn ; Sword Immortal Martial Emperor: Starting in the Rebellion of Xuanwu Gate ; 剑仙武帝：开局玄武门之变,1.9M,4.04,132
47,AI: Patrol Car!,Comedy,"
Yagisawa Keiichi ",Ongoing,AI：パト！ ; AI: Pato!,48.9K,4.2,56
48,Rutou-san ni wa Kanaimasen!,Romance-Schoollife-Seinen-Sliceoflife,"
Aizaki Utau ",Ongoing,瑠東さんには敵いません！ ; 瑠东同学无人能敌！ ; Rutou-san ni ha Kanaimasen!,34K,2.97,30
49,I'm Worried About My Classmate Who's Covered in Bruises,Drama-Romance-Schoollife,"
Kuga Tsuniya ",Ongoing,痣だらけのクラスメイトが心配 ; Azadarake no Classmate ga Shinpai ; Tôi lo lắng cho người bạn cùng lớp đầy những vết bầm tím,516.4K,4.57,324
50,The Game That I Came From,Action-Adventure-Fantasy-Supernatural,"
Mokf ",Ongoing,I Back From a Game ; I Came From the Game ; ふりだしから始まる覚醒者 ; 我来自游戏 ; 어웨이크닝: 회귀 플레이어 ; Wo Laizi Youxi,32.8M,"rate :
4.68/
5",5
51,The Price of Breaking Up,Drama-Fantasy-Romance-Webtoons-Manhwa,"
Aidela - Arc - Studio Inus ",Ongoing,파혼의 대가 ; The Price of Separation,5.4M,4.55,311
52,Witch Guild Fantasia,Action-Drama-Fantasy-Yuri,"
Urushino Rihito ",Ongoing,ウィッチギルド ファンタジア,701.7K,4.16,317
53,Souei Sousho,Comedy-Drama-Historical-Shounen,"
Funamoto Erika ",Ongoing,双影双書,178.1K,4.77,62
54,"Hogushite, Yui-san",Seinen-Sliceoflife,"
Minamito ",Ongoing,ほぐして、癒衣さん。 ; 抱抱我吧、愈衣小姐。,280.8K,4.07,276
55,VERSUS,Action-Fantasy-Martialarts-Shounen-Supernatural-Tragedy,"
One - Azuma Kyoutarou ",Ongoing,Versus ; バーサス,3.5M,4.84,562
56,Doraemon,Adventure-Comedy-Fantasy-Schoollife-Scifi-Sliceoflife,"
Fujiko F. Fujio ",Completed,ドラえもん; 哆啦A夢; 多啦A梦; 小叮噹; 小叮当; 机器猫; Đôrêmon; 萬能小叮噹; โดราเอมอน; 도라에몽; Doraemon Future Cat; Mèo Máy Đôrêmon; Doremon,4M,4.79,255
57,The Honor Student's Secret Job,Comedy-Schoollife-Shounen,"
Azuma Yuki ",Ongoing,Yuutousei to Himitsu no Oshigoto; 優等生と秘密のお仕事,3.8M,4.01,476
58,Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi,Comedy-Drama-Romance-Sliceoflife,"
Yano Toshinori ",Ongoing,"これからだんだん幸せになっていく怖い 女上司 ; رئيسة مرعبة تزداد سعادة وسعادة من الآن فصاعدًا ; Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi ; Korekara Dondon Shiawase ni Natte iku Kowai Jōshi ; A Scary Boss, But From Now on She's Going to Be Happier and Happier",195.2K,4.49,137
59,I Will Surrender the Position as Empress,Drama-Fantasy-Historical-Romance-Shoujo,"
마이구미 - 한보연 ",Ongoing,황후 자리를 버리겠습니다 ; I Will Give Up The Position as Empress,547.4K,4.73,259
60,44i99,Comedy,"
珠守 ",Ongoing,44 Loves 99 ; 44爱99,141.5K,2.18,175
61,Tonari no Kyuuketsuki-san,Comedy-Seinen-Sliceoflife-Supernatural,"
Amatou ",Ongoing,Ms. Vampire who lives in my neighborhood ; となりの吸血鬼さん ; 邻家的吸血鬼小妹,1.9M,4.61,197
62,Tonari no Kyuuketsuki-san,Comedy-Seinen-Sliceoflife-Supernatural,"
Amatou ",Ongoing,Ms. Vampire who lives in my neighborhood ; となりの吸血鬼さん ; 邻家的吸血鬼小妹,1.9M,4.61,197
63,Oretachi no Field,Drama-Shounen-Sports,"
Muraeda Kenichi ",Ongoing,俺たちのフィールド ; 我们的足球场 ; 足球好小子 ; Our Field of Dreams,711K,4.67,43
64,Drug Devourer,Action-Adventure-Fantasy-Shounen-Manhwa,"
Ara - Hanjib ",Ongoing,약빨이 신선함 ;The Medicine Is Fresh ,8.9M,4.57,743
65,It's Over! Empress’ Husband is Actually Invincible,Action-Adventure-Comedy-Drama-Fantasy-Historical-Romance,"
番茄漫画 ",Ongoing,Empress’ Husband is Actually Invincible; 完了啊！女帝的软饭丈夫居然无敌 / Wanliao Ah! Nvdi De Ruan Fan Zhangfu Juran Wudi,8.2M,"rate :
4.44/
5",5
66,What Do You Do If the Heroine Escapes From Your Novel?,Drama-Fantasy-Romance-Shoujo-Shoujoai,"
速度线工作室 ",Ongoing,Nǚ Zhǔ Cóng Shū Lǐ Pǎo Chūláile Zěnme Bàn Nữ chính từ trong sách chạy ra ngoài rồi phải làm sao đây What Do You Do if the Heroine Escapes From Your Novel? What to Do Now If the Heroine Escapes From the Book? 女主从书里跑出来了怎么办,33.5K,4.24,45
67,Library of Heaven's Path,Action-Adventure-Comedy-Drama-Fantasy-Martialarts-Manhua,"
Heng Sao Tian Ya - Huoli Xiongmao ",Ongoing,Tian Dao Library ; Tian Dao Tu Shu Guan ; 天道图书馆,33.7M,4.75,4821
68,Transistor Teaset,Comedy-Mecha-Sliceoflife-Yuri,"
Yoshimi Sato ",Ongoing - No Set Relea,トランジスタティーセット～電気街路図～ ; Transistor Teaset - Denki Gairozu,258.2K,4.27,26
69,Tenmaku no Jadougal,Drama-Historical-Josei,"
Tomato Soup ",Ongoing,A Witch's Life in Mongol,12.3K,4.33,12
70,The plain girl sitting next to me,Romance-Schoollife-Yuri,"
Inuto ",Ongoing,The Plain Girl Sitting Next to Me ; となりの席の地味な奴,742.5K,4.43,998
71,Song of the Sky Walkers,Action-Adventure-Drama-Fantasy-Historical-Martialarts-Shoujo-Webtoons,"
Da Xia ",Ongoing,"Bù Tiān Gē ,步天歌",6.2M,4.66,1167
72,Baby Come On!!,Fantasy-Mystery-Romance-Shounen-Supernatural,"
A Jia ",Ongoing,Bài Tuō Ràng Wǒ Cháng Yī Kǒu ; Please Let Me Try A Bite! ; 拜托让我尝一口,785.7K,3.14,166
73,Sonna Kazoku nara Sutechaeba?,Drama-Seinen,"
Murayama Wataru ",Ongoing,そんな家族なら捨てちゃえば? ; Một gia đình như vậy có đáng để giữ lại không?,81.7K,4.05,63
74,Yowamushi Pedal,Comedy-Drama-Shounen-Sports,"
Watanabe Wataru (渡辺航) ",Ongoing,弱虫ペダル (Japanese); 飆速宅男 (Chinese); Weakling Pedal (English),11.5M,4.63,274
75,The Mochi I Drew Is Tasty Today Too,Fantasy-Shounen-Sliceoflife-Isekai,"
Mochimochi Matter - Baito Asuka ",Ongoing,今日も絵に描いた餅が美味い ; Kyou mo E ni Kaita Mochi ga Umai ; 今日も絵に描いた餅が美味い@COMIC,839.4K,4.83,642
76,The Mochi I Drew Is Tasty Today Too,Fantasy-Shounen-Sliceoflife-Isekai,"
Mochimochi Matter - Baito Asuka ",Ongoing,今日も絵に描いた餅が美味い ; Kyou mo E ni Kaita Mochi ga Umai ; 今日も絵に描いた餅が美味い@COMIC,839.4K,4.83,642
77,Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken,Comedy-Romance-Schoollife-Shounen,"
Matsumoto Namiru ",Ongoing,僕の彼女がマジメ過ぎる処女ビッチな件 (Japanese); 关于我女友是个一本正经的碧池这件事 (Chinese); My Girlfriend is faithful virgin bitch (English),8M,4.56,673
78,TEKNO,Action-Adventure-Comedy-Drama-Fantasy-Mecha-Mystery-Psychological-Shounen-Sliceoflife,"
Blu Manga ",Ongoing,The Only Manga Worth Reading ; The Shonen Manga for People Tired of Shonen,1.1M,3.79,1023
79,TEKNO,Action-Adventure-Comedy-Drama-Fantasy-Mecha-Mystery-Psychological-Shounen-Sliceoflife,"
Blu Manga ",Ongoing,The Only Manga Worth Reading ; The Shonen Manga for People Tired of Shonen,1.1M,3.79,1023
80,Stockpiling Ten Thousand Tons of Pork During the Apocalypse,Action-Supernatural,"
恨年少无知 ",Ongoing,"空间系老六,末世先囤一万吨猪肉 ; 末世：开局先囤十亿物资 ; 空间系老六，末世先囤一万吨猪肉 ; Kongjian Xi Lao Liu, Moshi Xian Dun Yi Wan Dun Zhurou ; Kōngjiān Xì Lǎo Liù, Mòshì Xiān Dùn Yī Wàn Dùn Zhūròu",41.3K,4.67,54
81,Stockpiling Ten Thousand Tons of Pork During the Apocalypse,Action-Supernatural,"
恨年少无知 ",Ongoing,"空间系老六,末世先囤一万吨猪肉 ; 末世：开局先囤十亿物资 ; 空间系老六，末世先囤一万吨猪肉 ; Kongjian Xi Lao Liu, Moshi Xian Dun Yi Wan Dun Zhurou ; Kōngjiān Xì Lǎo Liù, Mòshì Xiān Dùn Yī Wàn Dùn Zhūròu",41.3K,4.67,54
82,BUTLER,Romance-Yaoi,"
Kanda Neko ",Ongoing,버틀러 ; BUTLER-バトラー-,497.3K,3.81,124
83,Deliverance of the Counterattack,Comedy-Shounenai-Webtoons,"
Haier ",Ongoing,"The Art of Taming His Husband, 逆袭之好孕人生; 娇奶爸休想逃, counterattack through pregnancy",6M,3.32,1333
84,Please Call Me Ghost Messenger,Action-Drama-Fantasy-Horror-Shounen-Supernatural-Manhua,"
徐二家的猫 ",Ongoing,"请叫我鬼差大人, Qing Jiao Wo Gui Chai Daren",55.4K,4.39,36
85,Revenge of the Top Ranker,Action-Drama-Fantasy,"
Watari Ryuuto ",Ongoing,復讐のトップランカー ; Fukushuu no Top Ranker,62.7K,4.57,84
86,The Secret of the Partner Next to You,Comedy-Mystery-Romance-Schoollife,"
Chaegun ",Ongoing,Jae-Kyung's Secret ; The Secret of Jae-Kyung ; El secreto de Jae-Kyung ; 옆자리 짝꿍의 비밀,1.3M,4.71,225
87,Goldo,Drama-Seinen-Sports,"
Takahashi Kouji ",Ongoing,ゴルドオ,30.6K,3.67,6
88,Boukyou Tarou,Adventure-Drama-Historical-Psychological-Seinen-Supernatural,"
Yamada Yoshihiro ",Ongoing,Bokyo Taro ; Homesick Tarou ; 望郷太郎,81.5K,4.78,95
89,I was Stuck on the Same Day for One Hundred Thousand Years,Action-Adventure-Comedy-Fantasy-Harem-Martialarts-Manhua,"
Iciyuan ",Ongoing,The Time of Rebirth ; I Was Stuck on the Same Day for One Hundred Thousand Years ; I Was Trapped on the Same Day for a Hundred Millennium ; 10만 년째 오늘을 살던 놈 ; 十万年の無限ループから脱出した ; 我被困在同一天十万年 ; 我被困在同一天十萬年,35.6M,"rate :
4.5/
5",5
90,I was Stuck on the Same Day for One Hundred Thousand Years,Action-Adventure-Comedy-Fantasy-Harem-Martialarts-Manhua,"
Iciyuan ",Ongoing,The Time of Rebirth ; I Was Stuck on the Same Day for One Hundred Thousand Years ; I Was Trapped on the Same Day for a Hundred Millennium ; 10만 년째 오늘을 살던 놈 ; 十万年の無限ループから脱出した ; 我被困在同一天十万年 ; 我被困在同一天十萬年,35.6M,"rate :
4.5/
5",5
91,Don’t Say You Love Me,Fantasy-Romance-Shounenai,"
Xi Yu’Er ",Ongoing,别对我表白,3.8M,4.42,704
92,Martial Arts Alone,Action-Adventure-Drama-Martialarts,"
Ttangpi ",Ongoing,나 홀로 무공,5M,4.61,490
93,Infinite Leveling: Murim,Action-Adventure-Comedy-Fantasy-Martialarts-Shounen,"
Jinwoo Kim - Gonbung - Poku ",Ongoing,Infinite Level up in Murim ; Muhan Rebereob in Murim ; Unlimited Level-ups in Murim ; 無限 Level up in 武林 ; 무한 레벨업 in 무림,51.5M,"rate :
4.61/
5",5
94,The Golden Light of Dawn,Drama-Fantasy-Historical-Romance-Shoujo-Webtoons-Manhwa,"
Seolon Han / Manta Comics ",Ongoing,The Golden Light of Dawn / The golden dawn light will shine for you / 황금빛 여명이 너를 비추리,2.9M,4.45,116
95,STUCK IN THE TOWER,Action-Adventure-Fantasy-Supernatural-Manhwa,"
Sitt ",Ongoing,"탑에 갇혀 고인물, Stuck in the Tower",7.6M,4.53,2012
96,"Shall We Bathe, Your Grace?",Comedy-Fantasy-Historical,"
Nokan - Summer (Ii) ",Ongoing,"공작님, 우리 목욕합시다! ; Duke, Let's Take A Bath!",810.9K,4.72,60
97,Unbreakable Master,Action-Drama-Fantasy-Romance-Shounenai,"
Jeon Yu Ho ",Ongoing,The Unbreakable Master ; 不可阻挡的主君大人 ; 언브레이커블 마스터,790.3K,3.84,79
98,The Dilettante,Action-Drama-Josei-Mature-Mystery-Romance-Schoollife-Shoujo-Sliceoflife,"
Jin Soye - Surreuk Comics ",Ongoing,딜레탕트,2.1M,4.76,134
99,The Ten Great Emperors At The Beginning Are All My Apprentices,Action-Fantasy-Historical-Martialarts-Shounen,"
Iciyuan ",Ongoing,"Ten Emperors Are My Disciples, The Ten Great Emperors at the Beginning Are All My Apprentices, Thập Đại Đế Hoàng Đều Là Đệ Tử Của Ta, 开局十个大帝都是我徒弟",2.7M,4.61,725
100,Rental Hero,Action-Drama-Fantasy-Shounen,"
Porto ",Ongoing,렌탈히어로,2.2M,4.7,340
101,Existence,Action-Adventure-Drama-Fantasy-Supernatural-Tragedy,"
Gwang Jin - Kim Kyeong-Jun ",Ongoing,존재 ; Jonjae,23.3M,"rate :
4.65/
5",5
102,Sword Immortal Martial Emperor,Action-Drama-Fantasy-Historical-Martialarts-Shounen-Manhua,"
三界动画 ",Ongoing,Jian Xian Wudi: Kaiju Xuanwu Men Zhi Bian ; Jiàn Xiān Wǔdì: Kāijú Xuánwǔ Mén Zhī Biàn ; Sword Immortal Martial Emperor: Starting in the Rebellion of Xuanwu Gate ; 剑仙武帝：开局玄武门之变,1.9M,4.04,132
103,AI: Patrol Car!,Comedy,"
Yagisawa Keiichi ",Ongoing,AI：パト！ ; AI: Pato!,48.9K,4.2,56
104,Rutou-san ni wa Kanaimasen!,Romance-Schoollife-Seinen-Sliceoflife,"
Aizaki Utau ",Ongoing,瑠東さんには敵いません！ ; 瑠东同学无人能敌！ ; Rutou-san ni ha Kanaimasen!,34K,2.97,30
105,I'm Worried About My Classmate Who's Covered in Bruises,Drama-Romance-Schoollife,"
Kuga Tsuniya ",Ongoing,痣だらけのクラスメイトが心配 ; Azadarake no Classmate ga Shinpai ; Tôi lo lắng cho người bạn cùng lớp đầy những vết bầm tím,516.4K,4.57,324
106,The Game That I Came From,Action-Adventure-Fantasy-Supernatural,"
Mokf ",Ongoing,I Back From a Game ; I Came From the Game ; ふりだしから始まる覚醒者 ; 我来自游戏 ; 어웨이크닝: 회귀 플레이어 ; Wo Laizi Youxi,32.8M,"rate :
4.68/
5",5
107,The Price of Breaking Up,Drama-Fantasy-Romance-Webtoons-Manhwa,"
Aidela - Arc - Studio Inus ",Ongoing,파혼의 대가 ; The Price of Separation,5.4M,4.55,311
108,Witch Guild Fantasia,Action-Drama-Fantasy-Yuri,"
Urushino Rihito ",Ongoing,ウィッチギルド ファンタジア,701.7K,4.16,317
109,Souei Sousho,Comedy-Drama-Historical-Shounen,"
Funamoto Erika ",Ongoing,双影双書,178.1K,4.77,62
110,"Hogushite, Yui-san",Seinen-Sliceoflife,"
Minamito ",Ongoing,ほぐして、癒衣さん。 ; 抱抱我吧、愈衣小姐。,280.8K,4.07,276
111,VERSUS,Action-Fantasy-Martialarts-Shounen-Supernatural-Tragedy,"
One - Azuma Kyoutarou ",Ongoing,Versus ; バーサス,3.5M,4.84,562
112,Doraemon,Adventure-Comedy-Fantasy-Schoollife-Scifi-Sliceoflife,"
Fujiko F. Fujio ",Completed,ドラえもん; 哆啦A夢; 多啦A梦; 小叮噹; 小叮当; 机器猫; Đôrêmon; 萬能小叮噹; โดราเอมอน; 도라에몽; Doraemon Future Cat; Mèo Máy Đôrêmon; Doremon,4M,4.79,255
113,The Honor Student's Secret Job,Comedy-Schoollife-Shounen,"
Azuma Yuki ",Ongoing,Yuutousei to Himitsu no Oshigoto; 優等生と秘密のお仕事,3.8M,4.01,476
